"","comment_id","is_useful","cdensity","pdensity","yngve","frazier","pct_neg_tokens","pct_neu_tokens","pct_pos_tokens","pct_nne_tokens","min_politeness","max_politeness","min_formality","max_formality","has_doxastic","has_epistemic","has_conditional","has_investigative","has_uncertainty"
"1",2163304,"Yes",0.833333333333333,0.533333333333333,0.231111111111111,0.666666666666667,1,0,0,1,0.513279549652,0.513279549652,0.00790690409604,0.00790690409604,FALSE,FALSE,FALSE,FALSE,FALSE
"2",3796997,"Yes",1.33333333333333,0.375,0.203125,1.0625,1,0,0,1,0.617494083967426,0.617494083967426,0.120117431199672,0.120117431199672,TRUE,FALSE,FALSE,FALSE,TRUE
"3",1886968,"Yes",1.16666666666667,0.354838709677419,0.29,0.916666666666667,0.806451612903226,0,0,0.806451612903226,0.39570597310129,0.525301559796788,0.0104920678901859,0.149996598284356,FALSE,FALSE,FALSE,FALSE,FALSE
"4",3771185,"No",1.5,0.421052631578947,0.25,1.08333333333333,0.894736842105263,0,0,0.894736842105263,0.391821282482408,0.518681565175479,0.00202167090283156,0.300929629046001,FALSE,FALSE,TRUE,FALSE,TRUE
"5",1855695,"Yes",1.75,0.692307692307692,0.29585798816568,0.769230769230769,1,0,0,1,0.368839671651019,0.368839671651019,0.0712179139625175,0.0712179139625175,FALSE,FALSE,TRUE,FALSE,TRUE
"6",2452866,"Yes",0,0,0.1,0.5,0,0,0,0,0.439007418522547,0.439007418522547,0.0205892501908699,0.0205892501908699,FALSE,FALSE,FALSE,FALSE,FALSE
"7",2247369,"No",1.66666666666667,0.555555555555556,0.246913580246914,1.11111111111111,0,0,0,0,0.529794593528393,0.529794593528393,0.00160743908644734,0.00160743908644734,TRUE,FALSE,FALSE,FALSE,TRUE
"8",3158761,"Yes",1,0,1,0.5,0,0,0,0,0.439007418522547,0.439007418522547,0.0596407145248596,0.0596407145248596,FALSE,FALSE,FALSE,FALSE,FALSE
"9",3323161,"No",0,0,0.5,0.5,0,0,0,0,0.439007418522547,0.439007418522547,0.0610426874056214,0.0610426874056214,FALSE,FALSE,FALSE,FALSE,FALSE
"10",1831236,"Yes",1.44444444444444,0.3,0.25,0.85,0.933333333333333,0,0,0.933333333333333,0.465819387621747,0.7794193607731,0.0043485045211894,0.163012075630702,TRUE,FALSE,FALSE,FALSE,TRUE
"11",3209831,"No",1.22727272727273,0.428571428571429,0.198347107438017,1.13888888888889,0.803571428571429,0,0,0.803571428571429,0.343226750588103,0.57700552892514,0.0197646348645314,0.71921311594203,FALSE,FALSE,FALSE,FALSE,FALSE
"12",1691492,"Yes",1.25806451612903,0.417721518987342,0.26530612244898,1.125,0.417721518987342,0,0.354430379746835,0.772151898734177,0.391752283210748,0.71839051209592,0.0028561474285913,0.715196941481244,TRUE,TRUE,TRUE,FALSE,TRUE
"13",4149709,"Unsure",0,0,0,1,0,0,0,0,0.439007418522547,0.439007418522547,0.0508394241721897,0.0508394241721897,FALSE,FALSE,FALSE,FALSE,FALSE
"14",2705060,"Yes",1.5,0.333333333333333,0.129251700680272,0.69047619047619,1,0,0,1,0.457753164671274,0.457753164671274,0.115784798049845,0.115784798049845,FALSE,FALSE,FALSE,FALSE,FALSE
"15",1588933,"Yes",3.66666666666667,0.4375,0.1875,0.71875,1,0,0,1,0.44709629293989,0.44709629293989,0.357935571576013,0.357935571576013,FALSE,FALSE,FALSE,FALSE,FALSE
"16",1988639,"Yes",1,0.4,0.28,0.9,0,0,0,0,0.266846874021415,0.266846874021415,0.0133740037136958,0.0133740037136958,FALSE,FALSE,FALSE,FALSE,FALSE
"17",1946304,"Yes",3.2,0.307533539731682,0.32,1,0.701754385964912,0,0,0.701754385964912,0.365183888153637,0.540873204213829,0.00198811222595752,0.655233024538117,FALSE,TRUE,FALSE,FALSE,TRUE
"18",3672961,"Yes",0,0,0.25,1,0,0,0,0,0.439007418522547,0.439007418522547,0.00915138922682279,0.00915138922682279,FALSE,FALSE,FALSE,FALSE,FALSE
"19",3149725,"Yes",0.666666666666667,0.333333333333333,0.277777777777778,0.75,1,0,0,1,0.610637628009188,0.610637628009188,0.000648619726189903,0.000648619726189903,FALSE,FALSE,FALSE,FALSE,FALSE
"20",3933329,"No",1.64705882352941,0.42,0.3125,0.875,0,0,0.92,0.92,0.20516651894656,0.479841992689168,0.00273624038160059,0.904610445249062,FALSE,TRUE,FALSE,FALSE,TRUE
"21",3934255,"Yes",0,0.6,0.32,0.8,0,0,0,0,0.45562467569016,0.45562467569016,0.0223216427078342,0.0223216427078342,FALSE,FALSE,FALSE,FALSE,FALSE
"22",3953047,"No",2.16666666666667,0.444444444444444,0.25,0.9375,1,0,0,1,0.479437331390921,0.515336246991674,0.000521048098195087,0.081070222072853,FALSE,TRUE,FALSE,FALSE,TRUE
"23",3553626,"No",0.705882352941177,0.514285714285714,0.10995670995671,0.714285714285714,1,0,0,1,0.563757330532456,0.563757330532456,0.592990059142945,0.592990059142945,FALSE,FALSE,FALSE,FALSE,FALSE
"24",2381297,"No",1.5,0.4,0.11,1.3,1,0,0,1,0.40400697351028,0.40400697351028,0.860229784598906,0.860229784598906,FALSE,FALSE,FALSE,FALSE,FALSE
"25",2483928,"Yes",1,0.4,0.4,0.6,0,0,0,0,0.439007418522547,0.439007418522547,0.0144880887436277,0.0144880887436277,FALSE,FALSE,FALSE,FALSE,FALSE
"26",1867577,"No",1.45454545454545,0.387096774193548,0.265625,0.75,0.741935483870968,0,0,0.741935483870968,0.261795363222365,0.465358029737797,0.14532098222083,0.767424908110095,FALSE,FALSE,FALSE,FALSE,FALSE
"27",3407214,"No",1.28571428571429,0.388888888888889,0.32,1.0625,0.722222222222222,0,0,0.722222222222222,0.382057117168021,0.541401479964438,0.014585198558774,0.490866530539032,FALSE,FALSE,FALSE,FALSE,FALSE
"28",1676633,"Unsure",0,1,0,0,0,0,0,0,0.439007418522547,0.439007418522547,0.101211684299688,0.101211684299688,FALSE,FALSE,FALSE,FALSE,FALSE
"29",1590685,"Yes",0,0,0.25,0.5,0,0,0,0,0.439007418522547,0.439007418522547,0.117057575734899,0.117057575734899,FALSE,FALSE,FALSE,FALSE,FALSE
"30",1636942,"No",0.916666666666667,0.37037037037037,0.167352537722908,0.851851851851852,0,0,1,1,0.566552488041113,0.566552488041113,0.449047322653658,0.449047322653658,FALSE,TRUE,FALSE,FALSE,TRUE
"31",2437172,"Yes",0,0.1,0.28,0.55,0,0,0,0,0.363982358294038,0.363982358294038,0.142758808824098,0.142758808824098,FALSE,FALSE,FALSE,FALSE,FALSE
"32",4389352,"Yes",1,0.5,0.25,1.5,0,0,0,0,0.439007418522547,0.439007418522547,0.00871170913398867,0.00871170913398867,FALSE,FALSE,FALSE,FALSE,FALSE
"33",2992941,"Unsure",1.8,0.25,0.13671875,0.8125,1,0,0,1,0.426246690247462,0.426246690247462,0.311504526526599,0.311504526526599,FALSE,FALSE,FALSE,FALSE,FALSE
"34",1877898,"Yes",2,0.571428571428571,0.244897959183673,0.785714285714286,0,0,1,1,0.439007418522547,0.439007418522547,0.240478276792975,0.240478276792975,FALSE,FALSE,FALSE,FALSE,FALSE
"35",1798845,"Yes",1,0.523809523809524,0.142857142857143,1.07142857142857,1,0,0,1,0.484226321798175,0.484226321798175,0.0543491405449221,0.0543491405449221,FALSE,FALSE,FALSE,FALSE,FALSE
"36",1641851,"Yes",0,0.0833333333333333,0.259259259259259,0.875,1,0,0,1,0.462124338877839,0.462124338877839,0.0179212138182414,0.0179212138182414,FALSE,FALSE,FALSE,FALSE,FALSE
